Timestamp,eigenvector,pagerank,clustering,triangles,degree,degree_centrality,average_neighbor_degree,node_clique_number,number_of_cliques,nb_of_nodes,nb_of_edges,diameter,assortativity,percolation_limit,Evento,Label,Colector
25,0.001736461148549,3.3163096106652524e-05,0.056502755684461003,0.665848643629369,2.8400875505737213,9.418921999713866e-05,272.3909042022639,2.155468594547987,2.7380115407574452,30154,42820,14,-0.099318718724635,0.9949715809774501,Google_MainOne_Normal,0,rrc06
26,0.0017365583596770002,3.316199635218037e-05,0.056623343787880004,0.6717293981097661,2.839860719615321,9.417857397411027e-05,272.3630452862863,2.156027192837009,2.7389487647156363,30155,42818,14,-0.09935718371118601,0.9949704124982981,Google_MainOne_Normal,0,rrc06
27,0.001736364635968,3.316089667064596e-05,0.05657737087092601,0.667164080116726,2.839965512667462,9.417892597139654e-05,272.3571999323573,2.155657248972012,2.737531502851837,30156,42821,14,-0.099315811588397,0.9949707642862131,Google_MainOne_Normal,0,rrc06
28,0.0017357330935510002,3.315979706204197e-05,0.056051897714232,0.661305832808303,2.839805020393275,9.417048084604306e-05,272.31971674748206,2.154624133700301,2.7377723248333723,30157,42820,14,-0.099315116245307,0.99496799884647,Google_MainOne_Normal,0,rrc06
29,0.0017356484423890002,3.3152101843256874e-05,0.056147537132444005,0.663605622596472,2.840206869115502,9.416194904735941e-05,272.4756288717027,2.154886619811696,2.738562524864076,30164,42836,14,-0.099289684581916,0.9949704557129221,Google_MainOne_Normal,0,rrc06
30,0.0017364171961080001,3.3149903865278824e-05,0.056423784197823006,0.6670092156732741,2.8404163627925483,9.416265084676107e-05,272.56652812268527,2.155473049128157,2.738679307830007,30166,42842,14,-0.09934798882559401,0.9949720553686531,Google_MainOne_Normal,0,rrc06
31,0.0017366592430460002,3.314221323699994e-05,0.05662011857212201,0.6682133032843931,2.840685380969741,9.41497209654561e-05,272.59192452736505,2.155569548934477,2.739336492890995,30173,42856,14,-0.09934865659201501,0.994973649071428,Google_MainOne_Normal,0,rrc06
32,0.0017359151682260002,3.3133428315827836e-05,0.056560843891501004,0.668268115701931,2.840661343229184,9.412396763516182e-05,272.3615598417589,2.155528312514496,2.738776051158013,30181,42867,14,-0.09935897578500501,0.9949695245920851,Google_MainOne_Normal,0,rrc06
33,0.0017360546501250002,3.3135624109480134e-05,0.056494810728351004,0.667086384572053,2.840717054905729,9.413205165702593e-05,272.47645423398194,2.15547234832168,2.738825010769078,30179,42865,14,-0.09933787867705601,0.9949726907979071,Google_MainOne_Normal,0,rrc06
34,0.0017358432660790001,3.3135624109480087e-05,0.056579452414658005,0.6681467245435561,2.840584512409291,9.412765963315299e-05,272.35874196191077,2.155671162066337,2.737897213294012,30179,42863,14,-0.099343491284285,0.9949691208267811,Google_MainOne_Normal,0,rrc06
35,0.0017362961560250002,3.313342831582785e-05,0.056592647215319,0.6688313839833,2.841058944368974,9.413714196053592e-05,272.3866102378067,2.155594579371127,2.738842318014645,30181,42873,14,-0.09938428824459701,0.9949689043246911,Google_MainOne_Normal,0,rrc06
36,0.001736202506403,3.3127940104684295e-05,0.05670422176183,0.6699132047969251,2.841250911018353,9.412790826630291e-05,272.60180127089706,2.155734446432121,2.739647518717286,30186,42883,14,-0.09937589150179701,0.9949743296215351,Google_MainOne_Normal,0,rrc06
0,0.0015190944584980001,2.93789294318115e-05,0.054922946554136,1.006610259122157,2.958281920206827,8.691370920488961e-05,223.02855212528485,2.175539103355074,2.929578706151948,34038,50347,15,-0.0869165188359,0.994316382009752,Spark_NZ_Normal,0,rrc06
1,0.0015178094351180002,2.9377203290246795e-05,0.055050179078497005,1.015334900117508,2.95710928319624,8.687415268357587e-05,222.80382221536135,2.176175088131609,2.928965922444183,34040,50330,15,-0.08692393220491901,0.9943136638601421,Spark_NZ_Normal,0,rrc06
